,lt_x,lt_y,rb_x,rb_y,target
200,22300288.1131,21296001.7306,24653204.4928,21300598.5812,0.0519048428857
201,22656756.8416,21296346.4944,24656735.7643,21300253.8174,0.0518278437851
202,22620056.886,21336888.0249,24603435.7199,21079712.2869,0.0517515870299
203,22082350.6561,21205312.203,25141141.9498,21211288.1088,0.0513379169135
204,22896528.0517,20891665.9875,24416964.5542,21524934.3243,0.0513031122402
205,22480288.1131,21251001.7306,24833204.4928,21255598.5812,0.0510965022809
206,22407816.3188,20823115.4507,24905676.2871,21863484.8611,0.0508374132202
207,22400052.8713,21404580.0018,24733439.7346,21102020.31,0.0505965468228
208,22000236.8882,20944577.2941,24953255.7177,21742023.0177,0.0500973560146
209,22300288.1131,21386001.7306,24653204.4928,21390598.5812,0.0500052947201
210,22140824.854,21050711.5752,25172667.7519,21455888.7366,0.0497013591552
211,22005824.854,21140711.5752,25037667.7519,21545888.7366,0.0496973809482
212,22095824.854,21050711.5752,25127667.7519,21455888.7366,0.0496784430251
213,22575566.894,21165838.3916,24557925.7119,21430761.9202,0.0496045973625
214,22005824.854,21005711.5752,25037667.7519,21410888.7366,0.0496021686029
215,22064912.4078,20710265.2718,24888580.1981,21886335.04,0.0495490965672
216,22135738.8674,21164087.1806,24817753.7385,21522513.1312,0.0491624593448
217,22199912.4078,20620265.2718,25023580.1981,21796335.04,0.0489800171892
218,22050824.854,21005711.5752,25082667.7519,21410888.7366,0.0489061783241
219,22270738.8674,21119087.1806,24952753.7385,21477513.1312,0.0487780753962
220,22180738.8674,21164087.1806,24862753.7385,21522513.1312,0.0486475429248
221,22530056.886,21381888.0249,24513435.7199,21124712.2869,0.0483185398116
222,22225738.8674,21209087.1806,24907753.7385,21567513.1312,0.0480488057142
223,22270738.8674,21209087.1806,24952753.7385,21567513.1312,0.0479997084321
224,22135738.8674,21119087.1806,24817753.7385,21477513.1312,0.0479984958881
225,22315738.8674,21209087.1806,24997753.7385,21567513.1312,0.0478771832731
226,22244912.4078,20620265.2718,25068580.1981,21796335.04,0.0478105341481
227,22476756.8416,21206346.4944,24476735.7643,21210253.8174,0.0476984207538
228,22620566.894,21075838.3916,24602925.7119,21340761.9202,0.0474423497379
229,22300288.1131,21341001.7306,24653204.4928,21345598.5812,0.0470597425022
230,22485566.894,21255838.3916,24467925.7119,21520761.9202,0.0469944548481
231,22303819.3846,21205656.9668,25009673.2213,21210943.345,0.046869440758
232,22530566.894,21255838.3916,24512925.7119,21520761.9202,0.0465977607893
233,22653225.57,21386691.2582,24300267.0359,21389909.0536,0.0465550524122
234,22570720.2298,20890965.6297,24742772.3761,21795634.6821,0.0465264051825
235,22154912.4078,20710265.2718,24978580.1981,21886335.04,0.0464646086014
236,22317816.3188,20733115.4507,24815676.2871,21773484.8611,0.0463964893744
237,22362816.3188,20778115.4507,24860676.2871,21818484.8611,0.0461628844876
238,22154912.4078,20755265.2718,24978580.1981,21931335.04,0.0460159740976
239,22345288.1131,21386001.7306,24698204.4928,21390598.5812,0.0457954865223
240,22656756.8416,21206346.4944,24656735.7643,21210253.8174,0.0456697860413
241,22272816.3188,20778115.4507,24770676.2871,21818484.8611,0.0454235740247
242,22490652.8807,21232462.7861,24822839.7252,21544137.5257,0.0450714596034
243,22407816.3188,20688115.4507,24905676.2871,21728484.8611,0.0450666058284
244,22511336.301,21037596.7463,24442156.3049,21559003.5655,0.0450599623279
245,22090236.8882,20989577.2941,25043255.7177,21787023.0177,0.0449143529041
246,22620566.894,21255838.3916,24602925.7119,21520761.9202,0.0448898040087
247,22485566.894,21210838.3916,24467925.7119,21475761.9202,0.044664441113
248,22050824.854,21050711.5752,25082667.7519,21455888.7366,0.0443387843165
249,22227816.3188,20733115.4507,24725676.2871,21773484.8611,0.0443131432099
250,22310652.8807,21232462.7861,24642839.7252,21544137.5257,0.0441804787566
251,22109912.4078,20620265.2718,24933580.1981,21796335.04,0.0440169811888
252,22227816.3188,20823115.4507,24725676.2871,21863484.8611,0.0439487444608
253,22575566.894,21120838.3916,24557925.7119,21385761.9202,0.0438282181656
254,22355052.8713,21359580.0018,24688439.7346,21057020.31,0.043768540932
255,22480720.2298,20935965.6297,24652772.3761,21840634.6821,0.0437216738501
256,22761528.0517,20891665.9875,24281964.5542,21524934.3243,0.0437176622875
257,22109912.4078,20665265.2718,24933580.1981,21841335.04,0.0434068270234
258,22407816.3188,20778115.4507,24905676.2871,21818484.8611,0.0432817282359
259,22317816.3188,20868115.4507,24815676.2871,21908484.8611,0.0432240040036
260,22485566.894,21165838.3916,24467925.7119,21430761.9202,0.043115875817
261,22620566.894,21165838.3916,24602925.7119,21430761.9202,0.0431075845669
262,22315738.8674,21029087.1806,24997753.7385,21387513.1312,0.0428746492108
