,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
39,Tübingen,County,175855,203968,211058,211951,218355,893
40,Tuttlingen,County,112885,129491,133866,132214,134607,-1652
41,Ulm,City with County Rights,103494,115721,118347,116761,120714,-1586
42,Waldshut,County,144883,163326,166114,163135,165211,-2979
43,Zollernalbkreis,County,172245,192862,193196,185560,186360,-7636
44,Aichach-Friedberg,County,101792,117921,124501,126387,129294,1886
45,Altötting,County,94216,105914,109023,106023,107465,-3000
46,Amberg,City with County Rights,42570,43611,44217,41911,41535,-2306
47,Amberg-Sulzbach,County,94617,105596,109083,103901,103045,-5182
48,Ansbach,County,157632,178265,183668,178353,179419,-5315
49,Ansbach Stadt,City with County Rights,36970,39896,40412,39491,40010,-921
50,Aschaffenburg,County,152367,170565,174577,172612,172776,-1965
51,Aschaffenburg Stadt,City with County Rights,60964,66360,68361,67359,68167,-1002
52,Augsburg,County,191469,226593,238536,237095,242697,-1441
53,Augsburg Stadt,City with County Rights,242819,259699,257836,267767,281111,9931
54,Bad Kissingen,County,99022,109213,109498,104020,102901,-5478
55,Bad Tölz-Wolfratshausen,County,98579,110995,117416,119178,123340,1762
56,Bamberg,County,119829,136928,143107,143610,144695,503
57,Bamberg Stadt,City with County Rights,69100,69652,69396,70635,71952,1239
58,Bayreuth,County,96772,107499,109249,105395,104615,-3854
59,Bayreuth Stadt,City with County Rights,69813,73016,74519,70808,71601,-3711
60,Berchtesgadener Land,County,90689,98946,100626,100827,102976,201
61,Cham,County,121401,129469,131416,125689,125844,-5727
62,Coburg,County,82033,91098,92199,87775,86715,-4424
63,Coburg Stadt,City with County Rights,42909,44153,42798,41023,41062,-1775
64,Dachau,County,104280,122144,131345,138697,146279,7352
65,Deggendorf,County,101436,112538,116558,114454,115699,-2104
66,Dillingen an der Donau,County,80209,90821,94435,93308,93478,-1127
67,Dingolfing-Landau,County,75517,86589,91218,90156,93450,-1062
68,Donau-Ries,County,117483,127632,130335,127920,130203,-2415
69,Ebersberg,County,96283,110169,120416,127568,134873,7152
70,Eichstätt,County,97347,112844,121031,123421,127189,2390
71,Erding,County,89190,104509,117949,125706,131839,7757
72,Erlangen,City with County Rights,99808,101406,101912,103719,106423,1807
73,Erlangen-Höchstadt,County,106113,124192,129751,130395,132830,644
74,Forchheim,County,97433,109725,112838,112738,113900,-100
75,Freising,County,118518,141022,155396,162818,170357,7422
76,Freyung-Grafenau,County,75564,81861,82553,78172,77927,-4381
77,Fürstenfeldbruck,County,172760,186235,195869,201597,210278,5728
78,Fürth,County,93861,110176,113530,112786,113847,-744
79,Fürth Stadt,City with County Rights,97480,108418,111257,115613,121519,4356
80,Garmisch-Partenkirchen,County,78782,85762,87408,84046,85931,-3362
81,Günzburg,County,107120,119548,122114,120182,121828,-1932
82,Haßberge,County,80257,87003,88412,84575,84152,-3837
83,Hof,County,105628,110625,108744,99371,96608,-9373
84,Hof Stadt,City with County Rights,51108,52590,50654,44759,44325,-5895
85,Ingolstadt,City with County Rights,96071,111979,117311,124927,131002,7616
86,Kaufbeuren,City with County Rights,38946,42748,42246,41550,42014,-696
87,Kelheim,County,90040,104063,110918,112752,116495,1834
88,Kempten (Allgäu),City with County Rights,59369,61657,61505,64078,65624,2573
89,Kitzingen,County,79304,87386,89104,87719,88492,-1385
90,Kronach,County,75353,76961,75458,69928,67998,-5530
91,Kulmbach,County,73055,78451,78674,74071,72541,-4603
92,Landsberg am Lech,County,83612,99557,107609,113085,116118,5476
