514,"Stewart, Georgia",5744,32.0732743,-84.8483149
515,"Sumter, Georgia",31232,32.0485072,-84.1862464
516,"Talbot, Georgia",6390,32.6984691,-84.505404
517,"Taliaferro, Georgia",1693,33.5820382,-82.9043661
518,"Tattnall, Georgia",25224,32.052885,-82.0521890096
519,"Taylor, Georgia",8442,32.556921,-84.2395154
520,"Telfair, Georgia",16518,31.9182328,-82.9339377
521,"Terrell, Georgia",9132,31.6179579,-83.7451725
522,"Thomas, Georgia",44959,30.8686259,-83.9471866
523,"Tift, Georgia",40704,31.4552389,-83.5349595
524,"Toombs, Georgia",27282,32.1296839,-82.3299928
525,"Towns, Georgia",11098,34.8971655,-83.7182775
526,"Treutlen, Georgia",6778,32.396098,-82.5666186
527,"Troup, Georgia",69469,33.0237625,-85.0254022
528,"Turner, Georgia",8153,31.7031592,-83.6214408
529,"Twiggs, Georgia",8320,32.6467914,-83.4351636
530,"Union, Georgia",21984,34.8180274,-83.9903969
531,"Upson, Georgia",26256,32.8641062,-84.2904968
532,"Walker, Georgia",68218,34.7418605,-85.3209686
533,"Walton, Georgia",87615,33.762884,-83.740416
534,"Ware, Georgia",35515,31.1727229,-82.4829338
535,"Warren, Georgia",5520,33.4120461,-82.694643
536,"Washington, Georgia",20635,32.9619979,-82.7748026
537,"Wayne, Georgia",29949,31.4954985,-81.6486212
538,"Webster, Georgia",2649,32.050618,-84.5473105
539,"Wheeler, Georgia",7995,32.112996,-82.7567324
540,"White, Georgia",27970,34.6322605,-83.7596041
541,"Whitfield, Georgia",103542,34.7969288,-84.9745026
542,"Wilcox, Georgia",8847,31.960784,-83.4379708
