,name,pop,
439,"Emanuel, Georgia",22755,
440,"Evans, Georgia",10898,
441,"Fannin, Georgia",23753,
442,"Fayette, Georgia",109664,
443,"Floyd, Georgia",96063,
444,"Forsyth, Georgia",204302,
445,"Franklin, Georgia",22264,
446,"Fulton, Georgia",996319,
447,"Gilmer, Georgia",28829,
448,"Glascock, Georgia",3053,
449,"Glynn, Georgia",82175,
450,"Gordon, Georgia",56047,
451,"Grady, Georgia",25359,
452,"Greene, Georgia",16490,
453,"Gwinnett, Georgia",877922,
454,"Habersham, Georgia",43752,
455,"Hall, Georgia",190761,
456,"Hancock, Georgia",8509,
457,"Haralson, Georgia",28641,
458,"Harris, Georgia",32876,
459,"Hart, Georgia",25377,
460,"Heard, Georgia",11603,
461,"Henry, Georgia",213869,
462,"Houston, Georgia",149111,
463,"Irwin, Georgia",9104,
464,"Jackson, Georgia",61870,
465,"Jasper, Georgia",13432,
466,"Jeff Davis, Georgia",14859,
467,"Jefferson, Georgia",16272,
468,"Jenkins, Georgia",9125,
469,"Johnson, Georgia",9701,
470,"Jones, Georgia",28787,
471,"Lamar, Georgia",18207,
472,"Lanier, Georgia",10373,
473,"Laurens, Georgia",47851,
474,"Lee, Georgia",29191,
475,"Liberty, Georgia",65198,
476,"Lincoln, Georgia",7622,
477,"Long, Georgia",17113,
478,"Lowndes, Georgia",113523,
479,"Lumpkin, Georgia",31176,
480,"Macon, Georgia",13792,
481,"Madison, Georgia",28312,
482,"Marion, Georgia",8797,
483,"McDuffie, Georgia",21370,
484,"McIntosh, Georgia",14214,
485,"Meriwether, Georgia",21198,
486,"Miller, Georgia",5958,
487,"Mitchell, Georgia",22771,
488,"Monroe, Georgia",27051,
489,"Montgomery, Georgia",8991,
490,"Morgan, Georgia",17956,
491,"Murray, Georgia",39410,
492,"Muscogee, Georgia",200887,
493,"Newton, Georgia",103675,
494,"Oconee, Georgia",35093,
495,"Oglethorpe, Georgia",14673,
496,"Paulding, Georgia",148987,
497,"Peach, Georgia",26922,
498,"Pickens, Georgia",29997,
499,"Pierce, Georgia",18991,
500,"Pike, Georgia",17784,
501,"Polk, Georgia",41133,
502,"Pulaski, Georgia",11483,
503,"Putnam, Georgia",21192,
504,"Quitman, Georgia",2315,
505,"Rabun, Georgia",16243,
