,lt_x,lt_y,rb_x,rb_y,target
146,29311262.8683,17365397.9122,32121819.609,19347361.8865,0.0451446677154
147,29328936.1143,17422301.5352,32374146.363,19020458.2635,0.0451316432063
148,28432851.0484,17134260.0482,33090231.4289,19578499.7505,0.0451163039445
149,29400896.3019,16133647.9667,32212186.1754,20579111.832,0.0450106398045
150,28387851.0484,17134260.0482,33045231.4289,19578499.7505,0.0447253937012
151,29446262.8683,17275397.9122,32256819.609,19257361.8865,0.0447132820227
152,29770275.9027,16601586.105,31932806.5746,20021173.6937,0.0447010915585
153,29400896.3019,15998647.9667,32212186.1754,20444111.832,0.044660884573
154,28477851.0484,16999260.0482,33135231.4289,19443499.7505,0.0446499372143
155,29364591.9284,16894697.9775,32338490.5489,19638061.8212,0.0445802243688
156,29887465.7031,16858055.1741,31725616.7742,19764704.6246,0.0444776883725
157,28612291.9664,16750760.3896,32910790.5109,19781999.4091,0.044470100097
158,29167797.0537,16291137.2277,32535285.4236,20331622.571,0.0444535641411
159,29032797.0537,16246137.2277,32400285.4236,20286622.571,0.0443997033754
160,28522851.0484,16954260.0482,33180231.4289,19398499.7505,0.0443356233999
161,29153272.5677,17100518.738,32459809.9096,19432241.0607,0.0442278736391
162,29355896.3019,16133647.9667,32167186.1754,20579111.832,0.0442174354232
163,28987797.0537,16201137.2277,32355285.4236,20241622.571,0.0441549270683
164,29319591.9284,16984697.9775,32293490.5489,19728061.8212,0.0441332745358
165,28387851.0484,17044260.0482,33045231.4289,19488499.7505,0.0440989500109
166,29238936.1143,17422301.5352,32284146.363,19020458.2635,0.0440404182106
167,29725275.9027,16556586.105,31887806.5746,19976173.6937,0.0440106009739
168,29401262.8683,17275397.9122,32211819.609,19257361.8865,0.043903189341
169,29466353.4041,16802347.075,32056729.0732,19910412.7237,0.0437908611522
170,29328936.1143,17557301.5352,32374146.363,19155458.2635,0.0437685258234
171,29497634.3249,17145450.2658,32025448.1524,19477309.5329,0.0437454014666
172,29266262.8683,17275397.9122,32076819.609,19257361.8865,0.0436735722884
173,29421353.4041,16757347.075,32011729.0732,19865412.7237,0.0435625999889
174,28987797.0537,16246137.2277,32355285.4236,20286622.571,0.0435488495929
175,29274591.9284,16894697.9775,32248490.5489,19638061.8212,0.043522171275
176,28702291.9664,16660760.3896,33000790.5109,19691999.4091,0.0434623992052
177,29198272.5677,17190518.738,32504809.9096,19522241.0607,0.043414798619
178,29497634.3249,17055450.2658,32025448.1524,19387309.5329,0.0433404099202
179,29355896.3019,16088647.9667,32167186.1754,20534111.832,0.0433132591549
180,29466353.4041,16667347.075,32056729.0732,19775412.7237,0.0432721588627
181,29274591.9284,16939697.9775,32248490.5489,19683061.8212,0.0432599584357
182,28987797.0537,16291137.2277,32355285.4236,20331622.571,0.043254024953
183,29153272.5677,17010518.738,32459809.9096,19342241.0607,0.0431363663243
184,29063272.5677,17145518.738,32369809.9096,19477241.0607,0.0429711124079
185,29445896.3019,16088647.9667,32257186.1754,20534111.832,0.0429394800345
186,29590275.9027,16646586.105,31752806.5746,20066173.6937,0.0427682898062
187,29615631.5793,16855451.9987,31817450.898,19497307.8,0.0426130369565
188,29122797.0537,16201137.2277,32490285.4236,20241622.571,0.0425956188937
189,29842465.7031,16768055.1741,31680616.7742,19674704.6246,0.0425748978787
190,29355896.3019,15998647.9667,32167186.1754,20444111.832,0.0425461729911
191,29229591.9284,16894697.9775,32203490.5489,19638061.8212,0.0424042470757
192,28657291.9664,16750760.3896,32955790.5109,19781999.4091,0.0423708021814
193,29311262.8683,17185397.9122,32121819.609,19167361.8865,0.0423091731975
194,29266262.8683,17320397.9122,32076819.609,19302361.8865,0.0421378069681
195,29570631.5793,16990451.9987,31772450.898,19632307.8,0.0420781492233
196,28342851.0484,16954260.0482,33000231.4289,19398499.7505,0.0420659537137
197,29122797.0537,16336137.2277,32490285.4236,20376622.571,0.0420409427236
