,lt_x,lt_y,rb_x,rb_y,target
54,19478787.0451,20801885.1108,20070403.8473,20016834.0813,0.074484615076
55,19432273.3931,20801949.2803,20206917.4993,20196769.9118,0.07442387572
56,19545981.7802,20982934.8947,20093209.1122,20015784.2974,0.0741746073145
57,19486091.1076,20703804.9109,20333099.7848,20204914.2812,0.0733707549084
58,19567273.3931,20756949.2803,20341917.4993,20151769.9118,0.0728401289582
59,19475146.4428,20895641.0382,20254044.4496,20103078.1539,0.0724144197202
60,19385146.4428,20985641.0382,20164044.4496,20193078.1539,0.0723068799202
61,19520146.4428,20940641.0382,20299044.4496,20148078.1539,0.071726902952
62,19522273.3931,20756949.2803,20296917.4993,20151769.9118,0.0714823800713
63,19430851.4113,20691341.2563,20388339.4811,20127377.9358,0.0712829702146
64,19532552.5878,20972137.7448,20016638.3046,20116581.4473,0.0709486502035
65,19336753.1253,20841417.5,20212437.7671,20157301.6921,0.0708717050151
66,19523787.0451,20891885.1108,20115403.8473,20106834.0813,0.0704610648223
67,19485203.3406,20988084.091,20153987.5518,20100635.1011,0.0699881015969
68,19583834.1965,20728544.6213,20055356.6959,20360174.5708,0.0699606324861
69,19530203.3406,21033084.091,20198987.5518,20145635.1011,0.069425115581
70,19295851.4113,20781341.2563,20253339.4811,20217377.9358,0.0687774119468
71,19622552.5878,20882137.7448,20106638.3046,20026581.4473,0.0686483976708
72,19475146.4428,20940641.0382,20254044.4496,20148078.1539,0.0684679837921
73,19577552.5878,20972137.7448,20061638.3046,20116581.4473,0.0683377618057
74,19381753.1253,20931417.5,20257437.7671,20247301.6921,0.068264150963
75,19340851.4113,20736341.2563,20298339.4811,20172377.9358,0.0681374739717
76,19477273.3931,20711949.2803,20251917.4993,20106769.9118,0.0681302717503
77,19477273.3931,20801949.2803,20251917.4993,20196769.9118,0.0681083418339
78,19396091.1076,20793804.9109,20243099.7848,20294914.2812,0.0680253875179
79,19426753.1253,20931417.5,20302437.7671,20247301.6921,0.0677573162617
80,19531091.1076,20793804.9109,20378099.7848,20294914.2812,0.0676812280207
81,19523787.0451,20846885.1108,20115403.8473,20061834.0813,0.0676646092297
82,19496330.804,20626268.5655,20232860.0884,20192450.6266,0.0676348620205
83,19406330.804,20626268.5655,20142860.0884,20192450.6266,0.0674086233422
84,19496330.804,20671268.5655,20232860.0884,20237450.6266,0.0671937805745
85,19432273.3931,20846949.2803,20206917.4993,20241769.9118,0.0670093332006
86,19441091.1076,20658804.9109,20288099.7848,20159914.2812,0.0666819585277
87,19385851.4113,20691341.2563,20343339.4811,20127377.9358,0.066483962281
88,19531091.1076,20838804.9109,20378099.7848,20339914.2812,0.0664574089926
89,19440203.3406,20943084.091,20108987.5518,20055635.1011,0.0663784765316
90,19516753.1253,20796417.5,20392437.7671,20112301.6921,0.0662943941324
91,19385851.4113,20781341.2563,20343339.4811,20217377.9358,0.0656813856191
92,19475851.4113,20691341.2563,20433339.4811,20127377.9358,0.0654091842785
93,19396091.1076,20748804.9109,20243099.7848,20249914.2812,0.064798878002
94,19385851.4113,20871341.2563,20343339.4811,20307377.9358,0.064742572443
95,19387273.3931,20711949.2803,20161917.4993,20106769.9118,0.0646300995208
96,19545981.7802,21027934.8947,20093209.1122,20060784.2974,0.0645969478036
97,19477273.3931,20891949.2803,20251917.4993,20286769.9118,0.0644531748735
98,19295851.4113,20871341.2563,20253339.4811,20307377.9358,0.0641058321572
99,19590981.7802,20892934.8947,20138209.1122,19925784.2974,0.063884372417
100,19572793.6609,20672481.0606,20246397.2315,20146238.1315,0.063720375953
101,19532552.5878,20837137.7448,20016638.3046,19981581.4473,0.0636910845612
102,19577552.5878,20882137.7448,20061638.3046,20026581.4473,0.0636271513068
103,19545981.7802,20937934.8947,20093209.1122,19970784.2974,0.0635994792229
104,19530203.3406,20943084.091,20198987.5518,20055635.1011,0.0633785970735
105,19545981.7802,20892934.8947,20093209.1122,19925784.2974,0.0632039099613
106,19516753.1253,20841417.5,20392437.7671,20157301.6921,0.0630851458536
107,19622552.5878,20837137.7448,20106638.3046,19981581.4473,0.0629636368977
108,19451330.804,20626268.5655,20187860.0884,20192450.6266,0.0628901382907
109,19396091.1076,20838804.9109,20243099.7848,20339914.2812,0.0626803359148
110,19516753.1253,20886417.5,20392437.7671,20202301.6921,0.0622670943835
111,19545981.7802,21072934.8947,20093209.1122,20105784.2974,0.0620882222137
112,19567273.3931,20801949.2803,20341917.4993,20196769.9118,0.0619990016841
113,19475851.4113,20736341.2563,20433339.4811,20172377.9358,0.0619756637939
114,19500981.7802,21072934.8947,20048209.1122,20105784.2974,0.0617965343174
115,19478787.0451,20936885.1108,20070403.8473,20151834.0813,0.061716103534
116,19568787.0451,20801885.1108,20160403.8473,20016834.0813,0.0616910768579
117,19500981.7802,20892934.8947,20048209.1122,19925784.2974,0.0612738605788
118,19520082.8662,20939916.2564,20209108.0262,20238802.9357,0.061156944659
119,19340851.4113,20781341.2563,20298339.4811,20217377.9358,0.0610497155897
120,19385851.4113,20736341.2563,20343339.4811,20172377.9358,0.0610032155353
121,19426753.1253,20796417.5,20302437.7671,20112301.6921,0.0610022773491
122,19622552.5878,21017137.7448,20106638.3046,20161581.4473,0.0605826610766
123,19451330.804,20671268.5655,20187860.0884,20237450.6266,0.0603273522738
124,19523787.0451,20981885.1108,20115403.8473,20196834.0813,0.0601622064816
125,19340851.4113,20871341.2563,20298339.4811,20307377.9358,0.0598255564477
