,lt_x,lt_y,rb_x,rb_y,target_norm
8958,18878165.6028,20419940.7494,19217261.3972,20491904.2506,9.27373514901e+11
8959,18878185.6028,20419880.7494,19217281.3972,20491844.2506,9.27373514901e+11
8960,18878245.6028,20419930.7494,19217341.3972,20491894.2506,9.27373514901e+11
8961,18878205.6028,20419920.7494,19217301.3972,20491884.2506,9.27373514901e+11
8962,18878195.6028,20419910.7494,19217291.3972,20491874.2506,9.27373514901e+11
8963,18878165.6028,20419890.7494,19217261.3972,20491854.2506,9.27373514901e+11
8964,18878145.6028,20419910.7494,19217241.3972,20491874.2506,9.27373514901e+11
8965,18878225.6028,20419920.7494,19217321.3972,20491884.2506,9.27373514901e+11
8966,18878165.6028,20419960.7494,19217261.3972,20491924.2506,9.27373514901e+11
8967,18878195.6028,20419900.7494,19217291.3972,20491864.2506,9.27373514901e+11
8968,18878175.6028,20419880.7494,19217271.3972,20491844.2506,9.27373514901e+11
8969,18878195.6028,20419870.7494,19217291.3972,20491834.2506,9.27373514901e+11
8970,18878155.6028,20419960.7494,19217251.3972,20491924.2506,9.27373514901e+11
8971,18878195.6028,20419930.7494,19217291.3972,20491894.2506,9.27373514901e+11
8972,18878245.6028,20419900.7494,19217341.3972,20491864.2506,9.27373514901e+11
8973,18878215.6028,20419900.7494,19217311.3972,20491864.2506,9.27373514901e+11
8974,18878145.6028,20419930.7494,19217241.3972,20491894.2506,9.27373514901e+11
8975,18878235.6028,20419880.7494,19217331.3972,20491844.2506,9.27373514901e+11
8976,18878185.6028,20419930.7494,19217281.3972,20491894.2506,9.27373514901e+11
8977,18878235.6028,20419930.7494,19217331.3972,20491894.2506,9.27373514901e+11
8978,18878245.6028,20419910.7494,19217341.3972,20491874.2506,9.27373514901e+11
8979,18878235.6028,20419890.7494,19217331.3972,20491854.2506,9.27373514901e+11
8980,18878145.6028,20419950.7494,19217241.3972,20491914.2506,9.27373514901e+11
8981,18878215.6028,20419880.7494,19217311.3972,20491844.2506,9.27373514901e+11
8982,18878155.6028,20419920.7494,19217251.3972,20491884.2506,9.27373514901e+11
8983,18878215.6028,20419910.7494,19217311.3972,20491874.2506,9.27373514901e+11
8984,18878235.6028,20419940.7494,19217331.3972,20491904.2506,9.27373514901e+11
8985,18878185.6028,20419950.7494,19217281.3972,20491914.2506,9.27373514901e+11
8986,18878145.6028,20419920.7494,19217241.3972,20491884.2506,9.27373514901e+11
8987,18878215.6028,20419940.7494,19217311.3972,20491904.2506,9.27373514901e+11
8988,18878245.6028,20419920.7494,19217341.3972,20491884.2506,9.27373514901e+11
8989,18878195.6028,20419950.7494,19217291.3972,20491914.2506,9.27373514901e+11
8990,18878235.6028,20419920.7494,19217331.3972,20491884.2506,9.27373514901e+11
8991,18878185.6028,20419940.7494,19217281.3972,20491904.2506,9.27373514901e+11
8992,18878155.6028,20419970.7494,19217251.3972,20491934.2506,9.27373514901e+11
8993,18878215.6028,20419950.7494,19217311.3972,20491914.2506,9.27373514901e+11
8994,18859357.9615,20455992.8553,19236149.0385,20455872.1447,9.15797165653e+11
8995,18859397.9615,20455972.8553,19236189.0385,20455852.1447,9.15797165653e+11
8996,18859377.9615,20455982.8553,19236169.0385,20455862.1447,9.15797165653e+11
8997,18859397.9615,20456012.8553,19236189.0385,20455892.1447,9.15797165653e+11
8998,18859337.9615,20456002.8553,19236129.0385,20455882.1447,9.15797165653e+11
8999,18859397.9615,20456002.8553,19236189.0385,20455882.1447,9.15797165653e+11
9000,18859397.9615,20455982.8553,19236189.0385,20455862.1447,9.15797165653e+11
9001,18859387.9615,20455992.8553,19236179.0385,20455872.1447,9.15797165653e+11
9002,18859367.9615,20456012.8553,19236159.0385,20455892.1447,9.15797165653e+11
9003,18859347.9615,20456002.8553,19236139.0385,20455882.1447,9.15797165653e+11
9004,18859327.9615,20456012.8553,19236119.0385,20455892.1447,9.15797165653e+11
9005,18859377.9615,20456012.8553,19236169.0385,20455892.1447,9.15797165653e+11
9006,18859337.9615,20456012.8553,19236129.0385,20455892.1447,9.15797165653e+11
9007,18859387.9615,20455982.8553,19236179.0385,20455862.1447,9.15797165653e+11
9008,18859357.9615,20456002.8553,19236149.0385,20455882.1447,9.15797165653e+11
9009,18859387.9615,20456002.8553,19236179.0385,20455882.1447,9.15797165653e+11
9010,18859397.9615,20455992.8553,19236189.0385,20455872.1447,9.15797165653e+11
9011,18859367.9615,20455992.8553,19236159.0385,20455872.1447,9.15797165653e+11
9012,18859367.9615,20456002.8553,19236159.0385,20455882.1447,9.15797165653e+11
9013,18859357.9615,20456012.8553,19236149.0385,20455892.1447,9.15797165653e+11
9014,18859387.9615,20456012.8553,19236179.0385,20455892.1447,9.15797165653e+11
