,name,pop,lat,lon,
406,Mattersburg,35075,47.72096675,16.3841730409,
407,Neusiedl am See,49397,47.9491855,16.8425149,
408,Oberpullendorf,38462,47.5012557,16.505547,
409,Oberwart,53783,47.2861513,16.2124214,
410,Rust (Stadt),1696,47.8003348,16.6749878,
411,Feldkirchen,28632,46.7205396,14.0987985,
412,Hermagor,20245,46.6538637,13.1002620036,
413,Klagenfurt Land,52874,46.5821384,14.1508411979,
414,Klagenfurt (Stadt),89415,46.64156035,14.3027720067,
415,Sankt Veit an der Glan,58850,46.7672516,14.3613196,
416,Spittal an der Drau,80802,46.7982211,13.4963308,
417,Villach Land,62596,46.63673265,13.6788723136,
418,Villach (Stadt),54640,46.61340635,13.8269610987,
419,Völkermarkt,43441,46.5990959,14.6918849636,
420,Wolfsberg,56303,46.8390956,14.8448315,
421,Amstetten,105143,48.0897643,14.7326052197,
422,Baden,115425,48.0085749,16.2334951,
423,Bruck an der Leitha,38503,48.0255094,16.7790041,
424,Gänserndorf,80687,48.3404132,16.7184526,
425,Gmünd,41314,46.9065611,13.5359844,
426,Hollabrunn,49066,48.5625384,16.0798033,
427,Horn,32465,48.7296109,15.6446483653,
428,Korneuburg,61013,48.44041125,16.2137866452,
429,Krems an der Donau (Stadt),22783,48.4098093,15.6063186641,
430,Krems (Land),52589,48.4509881,15.4820293972,
431,Lilienfeld,27072,48.0149797,15.5966191,
432,Melk,73319,48.2272068,15.3369992,
433,Mistelbach,70922,48.56451565,16.5344861529,
434,Mödling,100456,48.0782179,16.2770714943,
435,Neunkirchen,85503,47.66438595,15.9680330485,
436,Sankt Pölten (Land),87482,48.1385839,15.8176063691,
437,Sankt Pölten (Stadt),50026,48.193315,15.6198714983,
438,Scheibbs,40528,48.0036771,15.1642501,
439,Tulln,57631,48.3478322,15.9632678771,
440,Waidhofen an der Thaya,28607,48.8475066,15.3783421592,
441,Waidhofen an der Ybbs (Stadt),11435,47.95126495,14.7445258559,
442,Wiener Neustadt (Land),66462,47.86594825,15.9441992946,
443,Wiener Neustadt (Stadt),35134,47.8087008,16.2369729243,
444,Wien Umgebung,94001,48.073257,16.4960882552,
445,Zwettl,46247,48.55353765,15.068078082,
446,Braunau am Inn,91463,48.253136,13.039506,
447,Eferding,28726,48.3082607,14.0203999,
448,Freistadt,61101,48.5112961,14.5047566,
449,Gmunden,95949,47.9185855,13.8003048,
450,Grieskirchen,59744,48.235011,13.826192,
451,Kirchdorf an der Krems,51608,47.85374205,14.2458938397,
452,Linz-Land,119341,48.1730987,14.3124526,
453,Linz (Stadt),203044,48.2948808,14.301744083,
454,Perg,59056,48.29053155,14.6974639923,
455,Ried im Innkreis,55722,48.2085868,13.48839,
456,Rohrbach,56547,48.5728849,13.9897981174,
457,Schärding,56334,48.4569975,13.4318,
458,Steyr-Land,54590,47.9071065,14.5283802057,
459,Steyr (Stadt),39337,48.0564418,14.4185043458,
460,Urfahr-Umgebung,69717,48.4,14.2833333,
461,Vöcklabruck,120275,48.0078587,13.6460378,
462,Wels-Land,58332,48.13,13.93,
463,Wels (Stadt),52594,48.1563978,14.0246656,
464,Hallein,50396,47.6821521,13.0956313,
465,Salzburg,143978,47.8001977,13.0410592,
466,Salzburg-Umgebung,118137,47.8331394,13.1840938569,
467,Sankt Johann im Pongau,71955,47.2845718,13.3403548088,
468,Tamsweg,20622,47.1261065,13.8103817,
469,Zell am See,77277,47.3239539,12.7962369,
470,Bruck-Mürzzuschlag,112536,47.56783755,15.3793010026,
471,Deutschlandsberg,60581,46.8184067,15.212387,
472,Graz (Stadt),237810,47.0749638,15.4452153,
473,Graz-Umgebung,118173,47.1097664,15.280327967,
474,Hartberg-Fürstenfeld,89674,47.2478715,15.9284805472,
475,Leibnitz,73938,46.81618915,15.5397766162,
476,Leoben,72210,47.3827417,15.0942137,
477,Liezen,82514,47.567685,14.2420508,
478,Murau,32257,47.11224,14.16919,
479,Murtal,79638,47.23281755,14.7130631645,
480,Südoststeiermark,87516,46.85967165,15.8503647474,
481,Voitsberg,54577,47.0504742,15.1474771,
482,Weiz,83296,47.2174206,15.6221694,
