,name,pop,lat,lon,
131,"Мосальский район, Калужская область",8564,54.5561768,34.8591418494,
132,"г. Обнинск, Калужская область",109365,55.0898911,36.5960164,
133,"Перемышльский район, Калужская область",13540,54.3102372,36.3495593032,
134,"Спас-Деменский район, Калужская область",7379,54.39595675,33.9346202226,
135,"Сухиничский район, Калужская область",24029,54.0945612,35.3488686739,
136,"Тарусский район, Калужская область",15132,54.7068972,37.0092711319,
137,"Ульяновский район, Калужская область",7102,53.70544935,35.6146918376,
138,"Жиздринский район, Калужская область",10445,53.6378048,34.7343468277,
139,"Жуковский район, Калужская область",49571,55.00746885,36.8762225366,
140,"Антроповский район, Костромская область",6112,58.22453145,42.9966182356,
141,"г. Буй, Костромская область",24315,58.48257545,41.5343561066,
142,"Буйский район, Костромская область",10798,58.62978,41.5650642564,
143,"Чухломский район, Костромская область",10376,58.90760915,43.080567791,
144,"Галич, Костромская область",16869,58.3812411,42.3473775,
145,"Галичский район, Костромская область",7849,58.39888775,42.03616701,
146,"Кадыйский район, Костромская область",7571,57.70841965,43.1519578468,
147,"Кологривский район, Костромская область",5676,58.91787245,44.1286935043,
148,"г. Кострома, Костромская область",276090,57.74937725,40.9761670344,
149,"Костромской район, Костромская область",47290,57.9036051,40.9336824223,
150,"Красносельский район, Костромская область",18216,57.58506135,41.3504822446,
151,"Макарьевский район, Костромская область",14130,57.79786795,44.146483743,
152,"Мантурово, Костромская область",16077,58.3334918,44.7638886,
153,"Мантуровский район, Костромская область",4303,58.2628919,44.6583812233,
154,"Межевской район, Костромская область",3889,58.83828285,44.9977291818,
155,"Нейский район, Костромская область",12904,58.3676421,43.9308381924,
156,"Нерехтский район, Костромская область",33175,57.4489153,40.7810438812,
157,"Октябрьский район, Костромская область",4346,59.0446643,47.2187128034,
158,"Островский район, Костромская область",11650,57.8554086,42.331313472,
159,"Парфеньевский район, Костромская область",5913,58.5284313,43.5162695225,
160,"Павинский район, Костромская область",4364,59.10749855,46.1335812241,
161,"Поназыревский район, Костромская область",7458,58.42016355,46.2022383051,
162,"Пыщугский район, Костромская область",4673,58.91918565,45.5611707695,
163,"Шарьинский район, Костромская область",9354,58.34207035,45.465748456,
164,"Шарья, Костромская область",36737,58.3725699,45.5193045,
165,"Солигаличский район, Костромская область",9290,59.08011605,42.3374239135,
166,"Судиславский район, Костромская область",12461,57.9218977,41.6853083119,
167,"Сусанинский район, Костромская область",7123,58.1289284,41.503005528,
168,"Вохомский район, Костромская область",8572,59.10005915,46.6411987419,
169,"Волгореченск, Костромская область",16809,57.4414995,41.1550346,
170,"Беловский район, Курская область",15836,51.08600125,35.7131358011,
171,"Большесолдатский район, Курская область",11517,51.38982345,35.6032562182,
172,"Черемисиновский район, Курская область",9363,51.90686725,37.2052867043,
173,"Хомутовский район, Курская область",9632,51.87547975,34.6630262193,
174,"Дмитриевский район, Курская область",15584,52.14075195,34.9845357855,
175,"Фатежский район, Курская область",18669,52.0761609,35.8951570849,
176,"Глушковский район, Курская область",20280,51.33013675,34.5068891656,
177,"Горшеченский район, Курская область",16785,51.4855679,37.9410361057,
178,"Касторенский район, Курская область",15826,51.7869389,38.155736694,
179,"Конышёвский район, Курская область",9034,51.90632695,35.3042766007,
180,"Кореневский район, Курская область",16547,51.3694119,34.9814915732,
181,"г. Курчатов, Курская область",39395,51.6597638,35.6596649,
182,"Курчатовский район, Курская область",18647,51.68216015,35.5408005481,
183,"г. Курск, Курская область",435117,51.6941037,36.1547397254,
184,"Курский район, Курская область",57275,51.74327095,36.4634516989,
185,"г. Льгов, Курская область",19905,51.6906215,35.2847852703,
186,"Льговский район, Курская область",12820,51.6197744,35.1328835451,
187,"Мантуровский район, Курская область",12767,51.446436,37.277947462,
188,"Медвенский район, Курская область",16318,51.4389125,36.0749604807,
189,"Обоянский район, Курская область",29708,51.2346254,36.0784146413,
190,"Октябрьский район, Курская область",24532,51.68814645,35.8609533884,
191,"Поныровский район, Курская область",11227,52.24388345,36.2744558057,
192,"Пристенский район, Курская область",15678,51.2200815,36.7059999152,
193,"Рыльский район, Курская область",31975,51.57080865,34.5389779465,
194,"Щигровский район, Курская область",10590,51.91543095,36.8039911821,
195,"Щигры, Курская область",15963,51.870821,36.9131896,
196,"Солнцевский район, Курская область",14058,51.47514985,36.7108486814,
197,"Советский район, Курская область",17592,51.7876611,37.646684871,
198,"Суджанский район, Курская область",26370,51.24643615,35.2216448587,
199,"Тимский район, Курская область",11084,51.6476997,37.1401374056,
200,"г. Железногорск, Курская область",98756,52.3798961,35.5022725,
201,"Железногорский район, Курская область",16274,52.2320359,35.4578061841,
202,"Золотухинский район, Курская область",22254,52.03868525,36.3621683626,
203,"Чаплыгинский район, Липецкая область",30910,53.2741151,39.9351470677,
204,"Хлевенский район, Липецкая область",19322,52.1662269,39.1137030532,
205,"Данковский район, Липецкая область",32176,53.32720145,38.9597146222,
206,"Добринский район, Липецкая область",35230,52.201243,40.3676012208,
207,"Добровский район, Липецкая область",23494,52.8992662,39.7363325212,
208,"Долгоруковский район, Липецкая область",17343,52.3429058,38.3513779529,
209,"Грязинский район, Липецкая область",78401,52.50959645,39.9816059049,
210,"Измалковский район, Липецкая область",16455,52.66049335,37.9922082434,
211,"г. Елец, Липецкая область",105989,52.62163425,38.5020022996,
212,"Елецкий район, Липецкая область",29252,52.58808485,38.6764612273,
213,"Краснинский район, Липецкая область",12849,52.89617035,38.7598404835,
214,"Лебедянский район, Липецкая область",40824,52.95218475,39.2048664816,
215,"Лев-Толстовский район, Липецкая область",16772,53.23715485,39.5084221013,
216,"г. Липецк, Липецкая область",510152,52.61403505,39.564068888,
217,"Липецкий район, Липецкая область",50096,52.5661058,39.2900711902,
218,"Становлянский район, Липецкая область",18011,52.8493616,38.3195658568,
219,"Тербунский район, Липецкая область",22190,52.144083,38.4170401056,
220,"Усманский район, Липецкая область",50358,52.1371922,39.7320474192,
221,"Воловский район, Липецкая область",12987,52.07000925,37.9598347501,
222,"Задонский район, Липецкая область",35054,52.4682367,38.9353602538,
223,"г. Балашиха, Московская область",271961,55.7451948,37.9861751,
224,"г. Бронницы, Московская область",21925,55.41695635,38.2527812676,
225,"Чеховский район, Московская область",126238,55.15552905,37.3851061058,
226,"Черноголовка, Московская область",23586,56.0061165,38.3835224,
227,"г. Химки, Московская область",232066,55.8879318,37.4489463287,
228,"Дмитровский район, Московская область",160570,56.36614795,37.4179577492,
229,"г. Долгопрудный, Московская область",98788,55.94652445,37.4862753649,
230,"г. Домодедово, Московская область",153598,55.4350236,37.7799051,
231,"Дубна, Московская область",75176,56.7458679,37.1461192,
232,"г. Дзержинский, Московская область",51306,55.62266005,37.84081875,
233,"Электрогорск, Московская область",23028,55.8792983,38.7858721,
234,"г. Электросталь, Московская область",158222,55.7671289,38.3791098111,
235,"г. Фрязино, Московская область",58946,55.959658,38.0439735,
236,"Истринский район, Московская область",120703,55.94209425,36.7917907763,
237,"г. Ивантеевка, Московская область",69265,55.9709455,37.9305547,
238,"Егорьевский район, Московская область",103902,55.2628156,39.1989349557,
239,"Каширский район, Московская область",67766,54.7518632,38.2581934211,
240,"г. Климовск, Московская область",56239,55.3683459,37.5338898,
241,"Клинский район, Московская область",128178,56.332622,36.5338185332,
242,"Коломенский район, Московская область",45227,55.0982286,38.944411596,
243,"г. Коломна, Московская область",144253,55.096438,38.7713308787,
244,"г. Королёв, Московская область",220947,55.9374194,37.8224340854,
245,"г. Котельники, Московская область",41308,55.65910525,37.8723097315,
246,"Красноармейск, Московская область",26594,56.1210895,38.1457655,
247,"Красногорский район, Московская область",207836,55.82246945,37.2499537259,
248,"г. Краснознаменск, Московская область",39273,55.60261005,37.0406376,
249,"Ленинский район, Московская область",104036,55.5542676,37.7636328441,
250,"Люберецкий район, Московская область",291510,55.64379845,37.973690681,
251,"г. Лобня, Московская область",84225,56.0381197,37.4994907,
252,"г. Лосино-Петровский, Московская область",24726,55.8733069,38.1990179723,
253,"Лотошинский район, Московская область",17182,56.2966873,35.7852624354,
254,"Луховицкий район, Московская область",58747,54.9210148,39.1213631308,
255,"Лыткарино, Московская область",56360,55.5825823,37.9084815,
256,"Молодёжный, Московская область",2824,55.3271917,37.4879775,
257,"Можайский район, Московская область",72248,55.5235031,35.7951882652,
258,"Мытищинский район, Московская область",221777,56.01054865,37.6540757138,
