,naiseki
141,478059.173421
142,7764043.66653
143,-1313724.81416
144,1567410.21526
145,3189742.01738
146,4431045.78404
147,-3100115.05036
148,-697630.082454
149,-793203.586429
150,-4012560.19706
151,1878686.41612
152,-219687.227516
153,-798749.203738
154,-2887822.52017
155,5435770.31475
156,-3366084.62938
157,-681156.164854
158,1205369.92821
159,-4912451.21846
160,-1646355.47532
161,-3466455.67159
162,-15274157.7589
163,10401215.2373
164,-21792217.1436
165,-16709314.053
166,8346938.54277
167,-2161780.66555
168,6240940.43089
169,4904951.23569
170,1052555.89681
171,5639124.67465
172,7405167.15577
173,5357276.87679
174,-1932551.73682
175,1496842.64459
176,-2474834.22039
177,-3632698.03259
178,2680891.17
179,-8309325.33382
180,-4200747.84592
181,-8261278.44902
182,4603067.49963
183,-6029235.20682
184,-8866407.79387
185,6309231.79271
186,1526143.30192
187,6347584.61284
188,1541141.37277
189,1975346.51165
190,-4397534.36564
191,4447101.41723
192,2588812.72259
193,783112.421165
194,-3750169.44519
195,1062353.55233
196,-1194915.17936
197,2420178.46333
198,4651231.50254
199,3759394.16227
200,1655825.5099
201,-4469199.93589
202,4875510.48521
203,8690283.57753
204,2928406.23902
205,3560094.52658
206,3781436.7363
207,-5028498.41527
208,2110737.5053
209,5780225.29633
210,2358170.60261
211,13740346.675
212,5603668.83816
213,-2729270.25821
214,-370624.716683
215,-5449522.37549
216,361993.305009
217,-2259122.93596
218,-3294602.06563
219,2218755.10068
220,-3713277.25424
221,-1845942.05857
222,1717631.50329
223,3594209.44804
224,-4086716.15658
225,-142351.893526
226,-4872066.91101
227,2549448.24485
228,-1376467.90928
229,906773.962267
230,-3977029.56602
231,-1940756.73067
232,6033415.75936
233,-693893.382106
234,-1759878.39539
235,2527175.45604
236,3684895.665
237,1775984.22641
238,-9376019.72701
239,7397057.55327
240,-341682.046489
241,3037065.12774
242,5027504.15849
243,-5378036.78283
244,-7905783.81425
245,-5546859.11201
246,1315026.29614
247,-1329363.73897
248,9125270.28549
249,-2934745.31806
250,2051948.76272
251,2086142.78748
252,-810335.602085
253,-7725547.34298
254,-669599.071733
255,923469.136858
256,3208235.52818
257,924677.971816
258,-8091174.04531
259,-2482395.91844
260,-1025184.95881
261,2013353.87715
262,-2966185.50066
263,-4328450.50826
264,4485530.91366
265,8191959.03493
266,1869281.87923
267,2570949.1404
268,3948666.92959
269,-1314361.67032
270,3726347.05936
271,-6791664.70765
272,4026826.88213
273,1180772.26724
274,5890821.8921
275,7045691.01993
276,2663486.24879
277,7016168.44567
278,-2819357.39984
279,6467383.9964
280,-10747695.4209
281,23337.8403778
282,1754871.17776
283,1898093.53654
284,3492196.73972
285,156515.546094
286,840513.41202
287,2400754.27476
288,3082380.92867
289,-322960.215009
290,3672106.23947
291,-5680393.03489
292,-1689858.67682
293,-6033492.72655
294,-835242.612032
295,-8504582.42049
296,2848455.20549
297,-945609.425027
298,2620428.11893
299,-2924436.28445
300,528181.895754
301,9124579.26919
302,4578079.0683
303,-2121247.69293
304,-2764365.49148
305,-3239552.32661
306,-2444513.75698
307,-2137191.01427
308,-5356124.97258
309,-5175197.86445
310,486407.051614
311,2327074.11735
312,-4359068.65466
313,2041629.59763
314,-3071428.25904
315,7474729.02054
316,667099.937123
317,-6338886.89907
318,1029812.85689
319,-2280493.4636
320,61331.0373484
321,-4946609.29923
322,-6298036.61882
323,4037612.23468
