,name,pop
299,"Колпнянский район, Орловская область",13399
300,"Корсаковский район, Орловская область",4377
301,"Краснозоренский район, Орловская область",5767
302,"Кромской район, Орловская область",20719
303,"Ливенский район, Орловская область",30830
304,"г. Ливны, Орловская область",48327
305,"Малоархангельский район, Орловская область",10341
306,"г. Мценск, Орловская область",39181
307,"Мценский район, Орловская область",18693
308,"Новодеревеньковский район, Орловская область",9911
309,"Новосильский район, Орловская область",7843
310,"г. Орёл, Орловская область",319550
311,"Орловский район, Орловская область",70544
312,"Покровский район, Орловская область",13604
313,"Шаблыкинский район, Орловская область",7033
314,"Сосковский район, Орловская область",5476
315,"Свердловский район, Орловская область",15555
316,"Троснянский район, Орловская область",9359
317,"Урицкий район, Орловская область",19052
318,"Верховский район, Орловская область",16042
319,"Залегощенский район, Орловская область",14331
320,"Знаменский район, Орловская область",4586
321,"Александро-Невский район, Рязанская область",11442
322,"Чучковский район, Рязанская область",7685
323,"Ермишинский район, Рязанская область",7788
324,"Кадомский район, Рязанская область",7736
325,"г. Касимов, Рязанская область",31494
326,"Касимовский район, Рязанская область",27279
327,"Клепиковский район, Рязанская область",24641
328,"Кораблинский район, Рязанская область",22869
329,"Михайловский район, Рязанская область",33557
330,"Милославский район, Рязанская область",12763
331,"Пителинский район, Рязанская область",5324
332,"Пронский район, Рязанская область",30444
333,"Путятинский район, Рязанская область",7242
334,"г. Рязань, Рязанская область",532772
335,"Рязанский район, Рязанская область",57512
336,"Ряжский район, Рязанская область",29343
337,"Рыбновский район, Рязанская область",36667
338,"Шацкий район, Рязанская область",22079
339,"Сапожковский район, Рязанская область",10432
340,"Сараевский район, Рязанская область",16257
341,"г. Сасово, Рязанская область",26871
342,"Сасовский район, Рязанская область",17295
343,"Шиловский район, Рязанская область",39288
344,"г. Скопин, Рязанская область",28478
345,"Скопинский район, Рязанская область",26109
346,"Спасский район, Рязанская область",26989
347,"Старожиловский район, Рязанская область",17373
348,"Ухоловский район, Рязанская область",9062
349,"Захаровский район, Рязанская область",8647
350,"Хиславичский район, Смоленская область",8106
351,"Холм-Жирковский район, Смоленская область",9754
352,"Демидовский район, Смоленская область",12310
353,"г. Десногорск, Смоленская область",28554
354,"Дорогобужский район, Смоленская область",27376
355,"Духовщинский район, Смоленская область",15484
356,"Гагаринский район, Смоленская область",45940
357,"Глинковский район, Смоленская область",4414
358,"Ярцевский район, Смоленская область",54231
359,"Ельнинский район, Смоленская область",13846
360,"Ершичский район, Смоленская область",6444
361,"Кардымовский район, Смоленская область",12499
362,"Краснинский район, Смоленская область",12264
363,"Монастырщинский район, Смоленская область",9472
364,"Новодугинский район, Смоленская область",9603
365,"Починковский район, Смоленская область",29851
366,"Рославльский район, Смоленская область",71990
367,"Руднянский район, Смоленская область",23562
368,"Сафоновский район, Смоленская область",58803
369,"г. Смоленск, Смоленская область",330049
370,"Смоленский район, Смоленская область",53889
371,"Шумячский район, Смоленская область",9909
372,"Сычёвский район, Смоленская область",13807
373,"Тёмкинский район, Смоленская область",5971
374,"Угранский район, Смоленская область",8190
375,"Велижский район, Смоленская область",11114
376,"Вяземский район, Смоленская область",77359
377,"Бондарский район, Тамбовская область",11916
378,"Гавриловский район, Тамбовская область",10934
379,"Инжавинский район, Тамбовская область",20981
380,"г. Кирсанов, Тамбовская область",17042
381,"Кирсановский район, Тамбовская область",20295
382,"г. Котовск, Тамбовская область",31136
383,"г. Мичуринск, Тамбовская область",95864
384,"Мичуринский район, Тамбовская область",33841
385,"Мордовский район, Тамбовская область",17433
386,"г. Моршанск, Тамбовская область",39583
387,"Моршанский район, Тамбовская область",31294
388,"Мучкапский район, Тамбовская область",13868
389,"Никифоровский район, Тамбовская область",18430
390,"Первомайский район, Тамбовская область",27643
391,"Петровский район, Тамбовская область",17444
392,"Пичаевский район, Тамбовская область",13405
393,"г. Рассказово, Тамбовская область",44760
394,"Рассказовский район, Тамбовская область",21347
395,"Ржаксинский район, Тамбовская область",16693
396,"Сампурский район, Тамбовская область",12852
397,"Сосновский район, Тамбовская область",29433
398,"Староюрьевский район, Тамбовская область",13275
399,"г. Тамбов, Тамбовская область",288895
400,"Тамбовский район, Тамбовская область",105225
401,"Токарёвский район, Тамбовская область",16702
402,"Умётский район, Тамбовская область",11022
403,"г. Уварово, Тамбовская область",24792
404,"Уваровский район, Тамбовская область",10259
405,"Жердевский район, Тамбовская область",28422
406,"Знаменский район, Тамбовская область",17635
407,"Алексинский район, Тульская область",68099
408,"Арсеньевский район, Тульская область",9937
409,"Белёвский район, Тульская область",20354
410,"Богородицкий район, Тульская область",51533
411,"Чернский район, Тульская область",20194
412,"г. Донской, Тульская область",64403
413,"Дубенский район, Тульская область",14664
414,"Ясногорский район, Тульская область",29975
415,"Ефремовский район, Тульская область",59258
416,"Каменский район, Тульская область",9099
417,"Кимовский район, Тульская область",39446
418,"Киреевский район, Тульская область",73843
419,"Куркинский район, Тульская область",10036
420,"пгт. Новогуровский, Тульская область",3480
421,"г. Новомосковск, Тульская область",139234
422,"Одоевский район, Тульская область",12984
423,"Плавский район, Тульская область",27626
424,"Щёкинский район, Тульская область",106779
425,"пгт. Славный, Тульская область",1881
426,"Суворовский район, Тульская область",35451
427,"Тёпло-Огарёвский район, Тульская область",12440
428,"г. Тула, Тульская область",552362
429,"Узловский район, Тульская область",83329
430,"Веневский район, Тульская область",31380
431,"Воловский район, Тульская область",13858
432,"Заокский район, Тульская область",21925
433,"Андреапольский район, Тверская область",11572
434,"Бельский район, Тверская область",5778
435,"Бежецкий район, Тверская область",34454
436,"Бологовский район, Тверская область",35482
437,"Фировский район, Тверская область",8557
438,"Калининский район, Тверская область",49951
439,"Калязинский район, Тверская область",20743
440,"Кашинский район, Тверская область",25888
441,"Кесовогорский район, Тверская область",7947
442,"Кимрский район, Тверская область",12232
443,"г. Кимры, Тверская область",46771
444,"Конаковский район, Тверская область",84829
445,"Краснохолмский район, Тверская область",10749
446,"Кувшиновский район, Тверская область",14548
447,"Лесной район, Тверская область",4959
448,"Лихославльский район, Тверская область",27831
449,"Максатихинский район, Тверская область",15209
450,"Молоковский район, Тверская область",4399
451,"Нелидовский район, Тверская область",27710
452,"Оленинский район, Тверская область",12204
453,"Осташковский район, Тверская область",22700
454,"пгт. Озёрный, Тверская область",10591
455,"Пеновский район, Тверская область",6357
456,"Рамешковский район, Тверская область",15748
457,"г. Ржев, Тверская область",60334
458,"Ржевский район, Тверская область",11976
459,"Сандовский район, Тверская область",5918
460,"Селижаровский район, Тверская область",12241
461,"пгт. Солнечный, Тверская область",2166
462,"Сонковский район, Тверская область",8518
463,"Спировский район, Тверская область",11488
464,"Старицкий район, Тверская область",23411
465,"Торопецкий район, Тверская область",18789
466,"г. Торжок, Тверская область",46690
467,"Торжокский район, Тверская область",22721
468,"г. Тверь, Тверская область",414006
469,"Удомельский район, Тверская область",38368
470,"Весьегонский район, Тверская область",11737
471,"Вышневолоцкий район, Тверская область",24409
472,"г. Вышний Волочёк, Тверская область",48844
473,"Западнодвинский район, Тверская область",14241
474,"Жарковский район, Тверская область",5280
475,"Зубцовский район, Тверская область",16725
476,"Александровский район, Владимирская область",110458
477,"Гороховецкий район, Владимирская область",22005
478,"г. Гусь-Хрустальный, Владимирская область",59693
479,"Гусь-Хрустальный район, Владимирская область",41113
480,"Юрьев-Польский район, Владимирская область",36080
481,"Камешковский район, Владимирская область",30220
482,"Киржачский район, Владимирская область",39130
483,"Кольчугинский район, Владимирская область",54094
484,"г. Ковров, Владимирская область",140117
485,"Ковровский район, Владимирская область",31333
486,"Меленковский район, Владимирская область",34710
487,"г. Муром, Владимирская область",119824
488,"Муромский район, Владимирская область",16049
489,"Петушинский район, Владимирская область",65629
490,"г. Радужный, Владимирская область",18369
491,"Селивановский район, Владимирская область",18375
492,"Собинский район, Владимирская область",56017
493,"Судогодский район, Владимирская область",38960
494,"Суздальский район, Владимирская область",44102
495,"Вязниковский район, Владимирская область",74071
496,"г. Владимир, Владимирская область",355264
497,"Аннинский район, Воронежская область",41195
498,"Бобровский район, Воронежская область",49148
499,"Богучарский район, Воронежская область",35732
500,"Борисоглебский городской округ, Воронежская область",75437
501,"Бутурлиновский район, Воронежская область",47918
502,"Хохольский район, Воронежская область",29702
503,"Эртильский район, Воронежская область",23839
504,"Грибановский район, Воронежская область",31100
505,"Калачеевский район, Воронежская область",53670
506,"Каменский район, Воронежская область",18921
507,"Кантемировский район, Воронежская область",34923
508,"Каширский район, Воронежская область",24343
509,"Лискинский район, Воронежская область",101764
510,"Нижнедевицкий район, Воронежская область",18989
511,"Новохопёрский район, Воронежская область",38787
512,"Новоусманский район, Воронежская область",79183
513,"г. Нововоронеж, Воронежская область",31560
514,"Ольховатский район, Воронежская область",23356
515,"Острогожский район, Воронежская область",58950
516,"Панинский район, Воронежская область",26531
517,"Павловский район, Воронежская область",55990
518,"Петропавловский район, Воронежская область",18103
519,"Подгоренский район, Воронежская область",25338
520,"Поворинский район, Воронежская область",32755
521,"Рамонский район, Воронежская область",32440
522,"Репьёвский район, Воронежская область",15742
523,"Россошанский район, Воронежская область",93368
524,"Семилукский район, Воронежская область",67558
525,"Таловский район, Воронежская область",39785
526,"Терновский район, Воронежская область",19824
527,"Верхнехавский район, Воронежская область",24665
528,"Верхнемамонский район, Воронежская область",19890
529,"Воробьёвский район, Воронежская область",17071
530,"г. Воронеж, Воронежская область",1023570
