Name,Native,Status,"Population
Census
2000-11-01","Population
Census
2010-11-01"
Zăozhuāng Shì,枣庄市,Prefecture-level City,3545615,3729140
Zībó Shì,淄博市,Prefecture-level City,4184430,4530597
Shànghăi Shì,上海市,Municipal Province,16407734,23019196
Shànghăi Shì,上海市,Province-level City,16407734,23019196
Shānxī Shĕng,山西省,Province,32471242,35712101
Chángzhì Shì,长治市,Prefecture-level City,3138991,3334565
Dàtóng Shì,大同市,Prefecture-level City,3001508,3318054
Jìnchéng Shì,晋城市,Prefecture-level City,2160984,2279146
Jìnzhōng Shì,晋中市,Prefecture-level City,3016536,3249425
Línfén Shì,临汾市,Prefecture-level City,3950845,4316610
Lǚliáng Shì,吕梁市,Prefecture-level City,3382280,3727068
Shuòzhōu Shì,朔州市,Prefecture-level City,1451875,1714857
Tàiyuán Shì,太原市,Prefecture-level City,3344392,4201592
Xīnzhōu Shì,忻州市,Prefecture-level City,2938344,3067503
Yángquán Shì,阳泉市,Prefecture-level City,1273126,1368502
Yùnchéng Shì,运城市,Prefecture-level City,4812361,5134779
Sìchuān Shĕng,四川省,Province,82348296,80417528
Ābà Zàngzú Qiāngzú Zìzhìzhōu [Ngawa],阿坝藏族羌族自治州,Tibetan and Qiang Autonomous Prefecture,847468,898708
Bāzhōng Shì,巴中市,Prefecture-level City,3289246,3283148
Chéngdū Shì,成都市,Sub-provincial City,11108534,14047625
Dázhōu Shì,达州市,Prefecture-level City,5793144,5468097
Déyáng Shì,德阳市,Prefecture-level City,3788056,3615758
Gānzī Zàngzú Zìzhìzhōu [Garzê],甘孜藏族自治州,Tibetan Autonomous Prefecture,897239,1091872
Guăng'ān Shì,广安市,Prefecture-level City,4124100,3205476
Guăngyuán Shì,广元市,Prefecture-level City,3063291,2484122
Lèshān Shì,乐山市,Prefecture-level City,3324139,3235759
Liángshān Yízú Zìzhìzhōu,凉山彝族自治州,Yi Autonomous Prefecture,4081697,4532809
Lúzhōu Shì,泸州市,Prefecture-level City,4102165,4218427
Méishān Shì,眉山市,Prefecture-level City,3205171,2950545
Miányáng Shì,绵阳市,Prefecture-level City,5170141,4613871
Nánchōng Shì,南充市,Prefecture-level City,6683406,6278614
Nèijiāng Shì,内江市,Prefecture-level City,4160305,3702847
Pānzhīhuā Shì,攀枝花市,Prefecture-level City,1091657,1214121
Suìníng Shì,遂宁市,Prefecture-level City,3477013,3252619
Yă'ān Shì,雅安市,Prefecture-level City,1522845,1507258
Yíbīn Shì,宜宾市,Prefecture-level City,4887242,4471896
Zìgòng Shì,自贡市,Prefecture-level City,3033763,2678899
Zīyáng Shì,资阳市,Prefecture-level City,4697674,3665057
Tiānjīn Shì,天津市,Municipal Province,9848731,12938693
Tiānjīn Shì,天津市,Province-level City,9848731,12938693
Xīnjiāng Wéiwú'ĕr Zìzhìqū,新疆维吾尔自治区,Province,18459511,21815815
Ākèsū Dìqū [Aksu],阿克苏地区,Prefecture,2141745,2370809
Ālètài Dìqū [Altay],阿勒泰地区,Prefecture,561667,603283
Bāyīnguōléng Mĕnggŭ Zìzhìzhōu [Bayingolin],巴音郭楞蒙古自治州,Mongol Autonomous Prefecture,1056970,1278486
Bó'ĕrtălā Mĕnggŭ Zìzhìzhōu [Bortala],博尔塔拉蒙古自治州,Mongol Autonomous Prefecture,424040,443680
Chāngjí Huízú Zìzhìzhōu,昌吉回族自治州,Hui Autonomous Prefecture,1322145,1428587
Hāmì Dìqū [Kumul],哈密地区,Prefecture,492096,572400
Hétián Dìqū [Hotan],和田地区,Prefecture,1681310,2014362
"Kāshí Dìqū [Kashgar, Kaxgar]",喀什地区,Prefecture,3405713,3979321
Kèlāmăyī Shì [Karamay],克拉玛依市,Prefecture-level City,270232,391008
Kèzīlèsū Kē'ĕrkèzī Zìzhìzhōu [Kizilsu],克孜勒苏柯尔克孜自治州,Kirghiz Autonomous Prefecture,439688,525570
Tăchéng Dìqū,塔城地区,Prefecture,892397,1219369
Tŭlŭfān Dìqū [Turpan],吐鲁番地区,Prefecture,550731,622903
Wūlŭmùqí Shì [Ürümqi],乌鲁木齐市,Prefecture-level City,2262786,3112559
Yīlí Hāsàkè Zìzhìzhōu [Ili],伊犁哈萨克自治州,Kazakh Autonomous Prefecture,2367876,2482592
"Zìzhìqū Zhíxiáxiàn Jíxíngzhèng Qūhuà [Shihezi, Aral, Tumxuk, Wujiachu]",自治区直辖县级行政区划,directly administered,590115,770886
Xīzàng Zìzhìqū [Tibet],西藏自治区,Province,2616329,3002165
Ālĭ Dìqū [Ngari],阿里地区,Prefecture,77253,95465
"Chāngdū Dìqū [Qamdo, Chambo]",昌都地区,Prefecture,586152,657505
Lāsà Shì [Lhasa],拉萨市,Prefecture-level City,474499,559423
Línzhī Dìqū [Nyingchi],林芝地区,Prefecture,158647,195109
Nàqŭ Dìqū [Nagqu],那曲地区,Prefecture,366710,462381
"Rìkāzé Dìqū [Shigatse, Xigazê]",日喀则地区,Prefecture,634962,703292
Shānnán Dìqū [Lhoka],山南地区,Prefecture,318106,328990
Yúnnán Shĕng,云南省,Province,42360089,45966766
Băoshān Shì,保山市,Prefecture-level City,2348315,2506491
Chŭxióng Yízú Zìzhìzhōu,楚雄彝族自治州,Yi Autonomous Prefecture,2542530,2684169
Dàlĭ Báizú Zìzhìzhōu,大理白族自治州,Bai Autonomous Prefecture,3296552,3456323
Déhóng Dăizú Jĭngpōzú Zìzhìzhōu,德宏傣族景颇族自治州,Dai and Jingpo Autonomous Prefecture,1082599,1211440
Díqìng Zàngzú Zìzhìzhōu [Dêqên],迪庆藏族自治州,Tibetan Autonomous Prefecture,353518,400182
Hónghé Hānízú Yízú Zìzhìzhōu,红河哈尼族彝族自治州,Hani and Yi Autonomous Prefecture,4130463,4500896
Kūnmíng Shì,昆明市,Prefecture-level City,5781294,6432209
Lìjiāng Shì,丽江市,Prefecture-level City,1126646,1244769
Líncāng Shì,临沧市,Prefecture-level City,2332570,2429497
Nùjiāng Lìsùzú Zìzhìzhōu,怒江傈僳族自治州,Lisu Autonomous Prefecture,491824,534337
Pŭ'ĕr Shì,普洱市,Prefecture-level City,2480346,2542898
Qŭjìng Shì,曲靖市,Prefecture-level City,5466089,5855055
Wénshān Zhuàngzú Miáozú Zìzhìzhōu,文山壮族苗族自治州,Zhuang and Miao Autonomous Prefecture,3268553,3517946
Xīshuāngbănnà Dăizú Zìzhìzhōu,西双版纳傣族自治州,Dai Autonomous Prefecture,993397,1133515
Yùxī Shì,玉溪市,Prefecture-level City,2073005,2303518
Zhāotōng Shì,昭通市,Prefecture-level City,4592388,5213521
Zhèjiāng Shĕng,浙江省,Province,45930651,54426891
Hángzhōu Shì,杭州市,Sub-provincial City,6878722,8700373
Húzhōu Shì,湖州市,Prefecture-level City,2625595,2893542
Jiāxīng Shì,嘉兴市,Prefecture-level City,3582996,4501657
Jīnhuá Shì,金华市,Prefecture-level City,4571881,5361572
Lìshuĭ Shì,丽水市,Prefecture-level City,2162113,2116957
Níngbō Shì,宁波市,Sub-provincial City,5963362,7605689
Qúzhōu Shì,衢州市,Prefecture-level City,2128856,2122661
Shàoxīng Shì,绍兴市,Prefecture-level City,4304241,4912239
Táizhōu Shì,台州市,Prefecture-level City,5153715,5968838
Wēnzhōu Shì,温州市,Prefecture-level City,7557640,9122102
Zhōushān Shì,舟山市,Prefecture-level City,1001530,1121261
