,name,pop,lat,lon,
109,"Qītáihé Shì, Hēilóngjiāng Shĕng",920471,45.7706332,131.0038938,
110,"Shuāngyāshān Shì, Hēilóngjiāng Shĕng",1462626,46.64471,131.1517598,
111,"Suíhuà Shì, Hēilóngjiāng Shĕng",5418153,46.79553965,126.53785266,
112,"Yīchūn Shì, Hēilóngjiāng Shĕng",1148126,47.95745615,128.91075588,
113,"Ānyáng Shì, Hénán Shĕng",5173188,36.1023552,114.33633,
114,"Hèbì Shì, Hénán Shĕng",1569208,35.7479577,114.2915957,
115,"Jiāozuò Shì, Hénán Shĕng",3540101,35.2075729,113.2533977,
116,"Jìyuán Shì, Hénán Shĕng",675757,35.0945453,112.5810521,
117,"Kāifēng Shì, Hénán Shĕng",4676483,34.7961106,114.3472038,
118,"Luòhé Shì, Hénán Shĕng",2544266,33.5720554,114.0285163,
119,"Luòyáng Shì, Hénán Shĕng",6549941,34.6556873,112.4209629,
120,"Nányáng Shì, Hénán Shĕng",10263660,33.0408038,112.191429486,
121,"Píngdĭngshān Shì, Hénán Shĕng",4904701,33.7378279,113.2975031,
122,"Púyáng Shì, Hénán Shĕng",3598740,35.7631348,115.0234071,
123,"Sānménxiá Shì, Hénán Shĕng",2234018,34.7678842,111.1908398,
124,"Shāngqiū Shì, Hénán Shĕng",7362975,34.417097,115.6508622,
125,"Xīnxiāng Shì, Hénán Shĕng",5708191,35.35770215,113.940656385,
126,"Xìnyáng Shì, Hénán Shĕng",6109106,32.127372,114.0676596,
127,"Xŭchāng Shì, Hénán Shĕng",4307488,34.0472604,113.804958142,
128,"Zhèngzhōu Shì, Hénán Shĕng",8627089,34.7591877,113.6524076,
129,"Zhōukŏu Shì, Hénán Shĕng",8953793,33.7034155,114.917014132,
130,"Zhùmădiàn Shì, Hénán Shĕng",7231234,32.9056949,114.132756838,
131,"Ēnshī Tŭjiāzú Miáozú Zìzhìzhōu, Húbĕi Shĕng",3290294,30.1980965,109.6755462,
132,"Èzhōu Shì, Húbĕi Shĕng",1048668,30.3971188,114.886707,
133,"Huánggāng Shì, Húbĕi Shĕng",6162069,30.4516534,114.8748005,
134,"Huángshí Shì, Húbĕi Shĕng",2429318,30.2042795,115.0333033,
135,"Húbĕi Shĕngzhíxiáxiàn Jíxíngzhèng Qūhuà, Húbĕi Shĕng",3616415,0,0,double
136,"Jīngmén Shì, Húbĕi Shĕng",2873687,31.0524436,112.2038615,
137,"Jīngzhōu Shì, Húbĕi Shĕng",5691707,30.3538693,112.1869371,
138,"Shíyàn Shì, Húbĕi Shĕng",3340841,32.6451344,110.778513,
139,"Suízhōu Shì, Húbĕi Shĕng",2162222,31.7177962,113.3634633,
140,"Wŭhàn Shì, Húbĕi Shĕng",9785388,30.5960213,114.2992796,
141,"Xiāngyáng Shì, Húbĕi Shĕng",5500307,32.0553487,112.1294081,
142,"Xiánníng Shì, Húbĕi Shĕng",2462583,29.8441875,114.3179189,
143,"Xiàogăn Shì, Húbĕi Shĕng",4814542,30.9344752,113.9193441,
144,"Yíchāng Shì, Húbĕi Shĕng",4059686,30.771111,111.321667,
145,"Chángdé Shì, Húnán Shĕng",5714623,29.040525,111.6781103,
146,"Chángshā Shì, Húnán Shĕng",7040952,28.1873765,112.9835823,
147,"Chēnzhōu Shì, Húnán Shĕng",4583531,25.8112731,113.0313029,
148,"Héngyáng Shì, Húnán Shĕng",7148344,26.7920224,112.500448199,
149,"Huáihuà Shì, Húnán Shĕng",4741673,27.5590505,109.9635129,
150,"Lóudĭ Shì, Húnán Shĕng",3784634,27.7343117,112.0021701,
151,"Shàoyáng Shì, Húnán Shĕng",7071735,27.231505,111.4524988,
152,"Xiāngtán Shì, Húnán Shĕng",2752171,27.8595302,112.8995403,
153,"Xiāngxī Tŭjiāzú Miáozú Zìzhìzhōu, Húnán Shĕng",2549558,28.68707445,109.761973091,
154,"Yìyáng Shì, Húnán Shĕng",4307933,28.5874116,112.3517104,
155,"Yŏngzhōu Shì, Húnán Shĕng",5194275,25.7553204,111.884552194,
156,"Yuèyáng Shì, Húnán Shĕng",5476084,29.3606125,113.1118895,
157,"Zhāngjiājiè Shì, Húnán Shĕng",1478149,29.3342704,110.587838293,
158,"Zhūzhōu Shì, Húnán Shĕng",3857100,27.0347045,113.525496348,
159,"Chángzhōu Shì, Jiāngsū Shĕng",4592431,31.7895377,119.9387608,
160,"Huái'ān Shì, Jiāngsū Shĕng",4801662,33.5897018,119.0211943,
161,"Liányúngăng Shì, Jiāngsū Shĕng",4393482,34.6092633,119.1695305,
162,"Nánjīng Shì, Jiāngsū Shĕng",8003744,32.0609736,118.7916458,
163,"Nántōng Shì, Jiāngsū Shĕng",7283622,31.9822235,120.8914202,
164,"Sùqiān Shì, Jiāngsū Shĕng",4719178,33.9564492,118.2945375,
165,"Sūzhōu Shì, Jiāngsū Shĕng",10459890,31.2984758,120.622239,
166,"Tàizhōu Shì, Jiāngsū Shĕng",4618937,32.4849554,119.9117284,
167,"Wúxī Shì, Jiāngsū Shĕng",6374399,31.5531405,120.33527148,
168,"Xúzhōu Shì, Jiāngsū Shĕng",8577225,34.2051066,117.278248,
169,"Yánchéng Shì, Jiāngsū Shĕng",7262200,33.3939707,120.1349541,
170,"Yángzhōu Shì, Jiāngsū Shĕng",4460066,32.3926973,119.4365759,
171,"Zhènjiāng Shì, Jiāngsū Shĕng",3114105,31.97468705,119.437645272,
172,"Fŭzhōu Shì, Jiāngxī Shĕng",3912307,27.9957951,116.353245,
173,"Gànzhōu Shì, Jiāngxī Shĕng",8368447,25.8629902,114.9403044,
174,"Jí'ān Shì, Jiāngxī Shĕng",4810339,26.9735489,114.92051026,
175,"Jĭngdézhèn Shì, Jiāngxī Shĕng",1587477,29.2909294,117.204121,
176,"Jiŭjiāng Shì, Jiāngxī Shĕng",4728778,29.7076799,115.9967851,
177,"Nánchāng Shì, Jiāngxī Shĕng",5042566,28.6971096,115.8976324,
178,"Píngxiāng Shì, Jiāngxī Shĕng",1854515,27.48751305,113.897948876,
179,"Shàngráo Shì, Jiāngxī Shĕng",6579747,28.4483545,117.9684823,
180,"Xīnyú Shì, Jiāngxī Shĕng",1138874,27.8179914,114.9216766,
181,"Yíchūn Shì, Jiāngxī Shĕng",5419591,27.8032006,114.3918199,
182,"Yīngtán Shì, Jiāngxī Shĕng",1125156,28.2325444,117.0392294,
183,"Báichéng Shì, Jílín Shĕng",2032356,45.6098635,122.865279,
