,name,pop,
127,"Xŭchāng Shì, Hénán Shĕng",4307488,
128,"Zhèngzhōu Shì, Hénán Shĕng",8627089,
129,"Zhōukŏu Shì, Hénán Shĕng",8953793,
130,"Zhùmădiàn Shì, Hénán Shĕng",7231234,
131,"Ēnshī Tŭjiāzú Miáozú Zìzhìzhōu, Húbĕi Shĕng",3290294,
132,"Èzhōu Shì, Húbĕi Shĕng",1048668,
133,"Huánggāng Shì, Húbĕi Shĕng",6162069,
134,"Huángshí Shì, Húbĕi Shĕng",2429318,
135,"Húbĕi Shĕngzhíxiáxiàn Jíxíngzhèng Qūhuà, Húbĕi Shĕng",3616415,None
136,"Jīngmén Shì, Húbĕi Shĕng",2873687,
137,"Jīngzhōu Shì, Húbĕi Shĕng",5691707,
138,"Shíyàn Shì, Húbĕi Shĕng",3340841,
139,"Suízhōu Shì, Húbĕi Shĕng",2162222,
140,"Wŭhàn Shì, Húbĕi Shĕng",9785388,
141,"Xiāngyáng Shì, Húbĕi Shĕng",5500307,
142,"Xiánníng Shì, Húbĕi Shĕng",2462583,
143,"Xiàogăn Shì, Húbĕi Shĕng",4814542,
144,"Yíchāng Shì, Húbĕi Shĕng",4059686,
145,"Chángdé Shì, Húnán Shĕng",5714623,
146,"Chángshā Shì, Húnán Shĕng",7040952,
147,"Chēnzhōu Shì, Húnán Shĕng",4583531,
148,"Héngyáng Shì, Húnán Shĕng",7148344,
149,"Huáihuà Shì, Húnán Shĕng",4741673,
150,"Lóudĭ Shì, Húnán Shĕng",3784634,
151,"Shàoyáng Shì, Húnán Shĕng",7071735,
152,"Xiāngtán Shì, Húnán Shĕng",2752171,
153,"Xiāngxī Tŭjiāzú Miáozú Zìzhìzhōu, Húnán Shĕng",2549558,
154,"Yìyáng Shì, Húnán Shĕng",4307933,
155,"Yŏngzhōu Shì, Húnán Shĕng",5194275,
156,"Yuèyáng Shì, Húnán Shĕng",5476084,
157,"Zhāngjiājiè Shì, Húnán Shĕng",1478149,
158,"Zhūzhōu Shì, Húnán Shĕng",3857100,
159,"Chángzhōu Shì, Jiāngsū Shĕng",4592431,
160,"Huái'ān Shì, Jiāngsū Shĕng",4801662,
161,"Liányúngăng Shì, Jiāngsū Shĕng",4393482,
