,name,pop
218,"Bar-le-Duc, Meuse",64400
219,"Commercy, Meuse",43845
220,"Verdun, Meuse",83953
221,"Lorient, Morbihan",281621
222,"Pontivy, Morbihan",114237
223,"Vannes, Morbihan",248015
224,"Boulay-Moselle, Moselle",74628
225,"Château-Salins, Moselle",28480
226,"Forbach, Moselle",176036
227,"Metz-Campagne, Moselle",211863
228,"Metz-Ville, Moselle",123776
229,"Sarrebourg, Moselle",62098
230,"Sarreguemines, Moselle",99980
231,"Thionville-Est, Moselle",127541
232,"Thionville-Ouest, Moselle",119045
233,"Château-Chinon (Ville), Nièvre",28141
234,"Clamecy, Nièvre",26739
235,"Cosne-Cours-sur-Loire, Nièvre",45074
236,"Nevers, Nièvre",125244
237,"Avesnes-sur-Helpe, Nord",238466
238,"Cambrai, Nord",158845
239,"Douai, Nord",246987
240,"Dunkerque, Nord",379702
241,"Lille, Nord",1182026
242,"Valenciennes, Nord",348994
243,"Beauvais, Oise",209540
244,"Clermont, Oise",120328
245,"Compiègne, Oise",173943
246,"Senlis, Oise",262630
247,"Alençon, Orne",101487
248,"Argentan, Orne",119446
249,"Mortagne-au-Perche, Orne",71404
250,"Paris, Paris",2125246
251,"Arras, Pas-de-Calais",251082
252,"Béthune, Pas-de-Calais",279783
253,"Boulogne-sur-Mer, Pas-de-Calais",163159
254,"Calais, Pas-de-Calais",118311
255,"Lens, Pas-de-Calais",368921
256,"Montreuil, Pas-de-Calais",106789
257,"Saint-Omer, Pas-de-Calais",153523
258,"Ambert, Puy-de-Dôme",28014
259,"Clermont-Ferrand, Puy-de-Dôme",352752
260,"Issoire, Puy-de-Dôme",57549
261,"Riom, Puy-de-Dôme",109659
262,"Thiers, Puy-de-Dôme",56292
263,"Bayonne, Pyrénées-Atlantiques",248840
264,"Oloron-Sainte-Marie, Pyrénées-Atlantiques",73117
265,"Pau, Pyrénées-Atlantiques",278061
266,"Céret, Pyrénées-Orientales",66624
267,"Perpignan, Pyrénées-Orientales",287272
268,"Prades, Pyrénées-Orientales",38907
269,"Lyon, Rhône",1406043
270,"Villefranche-sur-Saône, Rhône",172826
271,"Autun, Saône-et-Loire",94988
272,"Chalon-sur-Saône, Saône-et-Loire",193091
273,"Charolles, Saône-et-Loire",102205
274,"Louhans, Saône-et-Loire",48520
275,"Mâcon, Saône-et-Loire",106089
276,"La Flèche, Sarthe",136933
277,"Le Mans, Sarthe",255080
278,"Mamers, Sarthe",137838
279,"Albertville, Savoie",101394
280,"Chambéry, Savoie",230257
281,"Saint-Jean-de-Maurienne, Savoie",41607
282,"Fontainebleau, Seine-et-Marne",144849
283,"Meaux, Seine-et-Marne",246103
284,"Melun, Seine-et-Marne",312257
285,"Provins, Seine-et-Marne",146975
286,"Torcy, Seine-et-Marne",343583
287,"Dieppe, Seine-Maritime",227169
288,"Le Havre, Seine-Maritime",403298
289,"Rouen, Seine-Maritime",608671
290,"Bobigny, Seine-Saint-Denis",529237
291,"Le Raincy, Seine-Saint-Denis",506374
292,"Saint-Denis, Seine-Saint-Denis",347250
293,"Abbeville, Somme",131215
294,"Amiens, Somme",293819
295,"Montdidier, Somme",51644
296,"Péronne, Somme",78873
297,"Albi, Tarn",164990
298,"Castres, Tarn",178412
299,"Castelsarrasin, Tarn-et-Garonne",68656
300,"Montauban, Tarn-et-Garonne",137378
301,"Belfort, Territoire de Belfort",137408
302,"Créteil, Val-de-Marne",625868
303,"L' Haÿ-les-Roses, Val-de-Marne",236803
304,"Nogent-sur-Marne, Val-de-Marne",364579
305,"Argenteuil, Val-d'Oise",209860
306,"Pontoise, Val-d'Oise",467888
307,"Sarcelles, Val-d'Oise",427716
308,"Brignoles, Var",107054
309,"Draguignan, Var",264632
310,"Toulon, Var",526755
311,"Apt, Vaucluse",116644
312,"Avignon, Vaucluse",269828
313,"Carpentras, Vaucluse",113213
314,"Fontenay-le-Comte, Vendée",119403
315,"La Roche-sur-Yon, Vendée",230386
316,"Les Sables-d'Olonne, Vendée",189875
317,"Châtellerault, Vienne",109202
318,"Montmorillon, Vienne",74045
319,"Poitiers, Vienne",215777
320,"Épinal, Vosges",218232
321,"Neufchâteau, Vosges",69322
322,"Saint-Dié-des-Vosges, Vosges",93398
323,"Auxerre, Yonne",178743
324,"Avallon, Yonne",50618
325,"Sens, Yonne",103860
326,"Mantes-la-Jolie, Yvelines",264269
327,"Rambouillet, Yvelines",214219
328,"Saint-Germain-en-Laye, Yvelines",528320
329,"Versailles, Yvelines",347496
