Name,Status,"Population
Census
1990-04-01","Population
Census
2000-04-01","Population
Census
2010-04-01","Population
Estimate
2014-07-01"
Madison,County,21050,25705,28120,28312
Marion,County,5590,7133,8742,8797
McDuffie,County,20119,21263,21875,21370
McIntosh,County,8634,10839,14332,14214
Meriwether,County,22411,22546,21992,21198
Miller,County,6280,6368,6129,5958
Mitchell,County,20275,23925,23498,22771
Monroe,County,17113,21751,26461,27051
Montgomery,County,7379,8234,9123,8991
Morgan,County,12883,15499,17868,17956
Murray,County,26147,36501,39628,39410
Muscogee,County,179280,186213,190545,200887
Newton,County,41808,61906,99958,103675
Oconee,County,17618,25772,32815,35093
Oglethorpe,County,9763,12610,14899,14673
Paulding,County,41611,81615,142324,148987
Peach,County,21189,23702,27696,26922
Pickens,County,14432,23022,29422,29997
Pierce,County,13328,15624,18758,18991
Pike,County,10224,13460,17869,17784
Polk,County,33815,38102,41475,41133
Pulaski,County,8108,9604,11999,11483
Putnam,County,14137,18774,21218,21192
Quitman,County,2210,2596,2513,2315
Rabun,County,11648,15035,16276,16243
Randolph,County,8023,7791,7719,7313
Richmond,County,189719,199552,200549,201368
Rockdale,County,54091,70292,85215,87754
Schley,County,3590,3760,5010,5163
Screven,County,13842,15357,14593,14085
Seminole,County,9010,9364,8729,8686
Spalding,County,54457,58461,64073,63988
Stephens,County,23436,25442,26175,25480
Stewart,County,5654,5253,6058,5744
Sumter,County,30232,33228,32817,31232
Talbot,County,6524,6513,6863,6390
Taliaferro,County,1915,2076,1717,1693
Tattnall,County,17722,22314,25519,25224
Taylor,County,7642,8815,8906,8442
Telfair,County,11000,11815,16500,16518
Terrell,County,10653,10963,9507,9132
Thomas,County,38943,42791,44719,44959
Tift,County,34998,38376,40122,40704
Toombs,County,24072,26133,27223,27282
Towns,County,6754,9312,10471,11098
Treutlen,County,5994,6836,6885,6778
Troup,County,55532,58753,67044,69469
Turner,County,8703,9494,8930,8153
Twiggs,County,9806,10601,9023,8320
Union,County,11993,17286,21356,21984
Upson,County,26300,27761,27153,26256
Walker,County,58310,61140,68756,68218
Walton,County,38586,60637,83768,87615
Ware,County,35471,35497,36306,35515
Warren,County,6078,6309,5834,5520
Washington,County,19112,21197,21187,20635
Wayne,County,22356,26571,30099,29949
Webster,County,2263,2390,2801,2649
Wheeler,County,4903,6170,7421,7995
White,County,13006,19976,27144,27970
Whitfield,County,72462,83561,102599,103542
Wilcox,County,7008,8625,9255,8847
Wilkes,County,10597,10706,10593,9940
Wilkinson,County,10228,10202,9563,9326
Worth,County,19744,22029,21679,20940
Hawaii,Federal State,1108229,1211497,1360301,1419561
Hawaii,County,120317,148641,185079,194190
